name,birthday,marital_status,account_nr,tax_residency,net_worth_in_millions,profession,social_security_number,relationship_manager,highest_previous_education
Amina Kouri,23.11.1991,Single,ZR1023,USA,$250 Mio.,Tech Startup Founder,756.1234.5678.90,Ella Morrison,Bachelor of Science in Computer Science
Santiago Rivera,15.04.1982,Married,ZR2094,Canada,$500 Mio.,Real Estate Mogul,756.9876.5432.10,Raj Patel,MBA in Finance
Chen Wei,09.07.1975,Divorced,ZR3058,Mexico,$75 Mio.,Renowned Neurosurgeon,756.1357.2468.12,Carlos Ramirez,Bachelor of Laws (LL.B.)
Elena Popova,28.02.2000,Widowed,ZR4012,Brazil,$900 Mio.,Professional Athlete,756.1928.3746.44,Maria Schmidt,Doctor of Medicine (M.D.)
Liam O'Brien,11.05.1987,Single,ZR5009,United Kingdom,$180 Mio.,Hedge Fund Manager,756.2849.1736.55,Henry Brooks,Bachelor of Fine Arts
Anika Patel,22.12.1992,Married,ZR6190,France,$350 Mio.,Celebrity Chef,756.3654.2847.66,Linda Huang,Ph.D. in Physics
Hiroshi Nakamura,06.06.1969,Divorced,ZR7102,Germany,$45 Mio.,Bestselling Author,756.4765.3958.77,Michael O'Connor,Bachelor of Public Health
Noah Zimmerman,30.01.1999,Single,ZR8097,Italy,$120 Mio.,Film Director,756.5876.4069.88,Sophie Martin,Diploma in Urban Planning
Isabella Rossi,07.03.1978,Widowed,ZR9023,Russia,$650 Mio.,Art Dealer,756.6987.5170.99,James Lee,Ph.D. in Chemistry
Mia Anderson,14.10.1985,Married,ZR1001,India,$430 Mio.,Music Producer,756.8098.6281.11,Aisha Khan,Certificate in Dental Hygiene
Olivia Tremblay,19.09.2005,Single,ZR1182,China,$300 Mio.,Venture Capitalist,756.9109.7392.22,Tomás Moreno,Bachelor of Engineering
Sofia Almeida,05.03.1966,Divorced,ZR2245,Japan,$25 Mio.,Corporate Lawyer,756.0210.8403.33,Julia Kowalski,Ph.D. in Economics
Elias Svensson,21.08.1994,Widowed,ZR3389,Australia,$850 Mio.,Luxury Goods Designer,756.1321.9514.44,Ian Clarke,Diploma in Music Performance
Fatima Zahra Mansouri,02.12.1970,Married,ZR4421,South Africa,$100 Mio.,Biotech Entrepreneur,756.2432.0625.55,Nora Abdi,Doctor of Veterinary Medicine (DVM)
Seo-yun Kim,17.05.1988,Single,ZR5597,Egypt,$550 Mio.,International Pop Star,756.3543.1736.66,Victor Díaz,Bachelor of Psychology
Lara van den Berg,08.04.2003,Divorced,ZR6678,Nigeria,$60 Mio.,AI Research Scientist,756.4654.2847.77,Anya Ivanova,Master of Education
Finn Murphy,31.07.1964,Widowed,ZR7732,Turkey,$400 Mio.,Professional Gamer,756.5765.3958.88,Sean Murphy,Apprenticeship in Biotechnology
Kai Løkke,24.06.1990,Single,ZR8804,South Korea,$950 Mio.,Cryptocurrency Investor,756.6876.5069.99,Bianca Costa,Associate Degree in Social Work
Jorge Castillo,13.01.1983,Married,ZR9900,Indonesia,$220 Mio.,Yacht Broker,756.7987.6170.00,Andre Dupont,Bachelor in Environmental Science
Charlotte Leclerc,27.09.1973,Divorced,ZR1085,Spain,$30 Mio.,Private Equity Partner,756.8098.7281.11,Lena Bauer,Pharmacy Technician Certificate
